Country_Region,Last_Update,Confirmed,Deaths
Italy,2022-12-06 04:21:03,287318,1594
Italy,2022-12-06 04:21:03,236508,1628
Italy,2022-12-06 04:21:03,1660127,13725
Italy,2022-12-06 04:21:03,1556724,9287
Italy,2022-12-06 04:21:03,485716,2841
Italy,2022-12-06 04:21:03,1734738,12328
Italy,2022-12-06 04:21:03,1527957,11187
Italy,2022-12-06 04:21:03,416648,2270
Italy,2022-12-06 04:21:03,49033,559
Italy,2022-12-06 04:21:03,2553072,15972
Jamaica,2022-12-06 04:21:03,152517,3399
Japan,2022-12-06 04:21:03,1596132,3116
Japan,2022-12-06 04:21:03,149232,332
Japan,2022-12-06 04:21:03,212885,412
Japan,2022-12-06 04:21:03,1106112,2759
Japan,2022-12-06 04:21:03,198232,325
Japan,2022-12-06 04:21:03,142899,125
Japan,2022-12-06 04:21:03,1186979,2103
Japan,2022-12-06 04:21:03,276787,351
Japan,2022-12-06 04:21:03,371540,707
Japan,2022-12-06 04:21:03,308914,625
Japan,2022-12-06 04:21:03,545939,885
Japan,2022-12-06 04:21:03,1096942,3402
Japan,2022-12-06 04:21:03,1125469,3011
Japan,2022-12-06 04:21:03,450793,807
Japan,2022-12-06 04:21:03,205442,327
Japan,2022-12-06 04:21:03,161064,285
Japan,2022-12-06 04:21:03,171982,334
Japan,2022-12-06 04:21:03,323704,563
Japan,2022-12-06 04:21:03,1739437,3226
Japan,2022-12-06 04:21:03,115752,337
Japan,2022-12-06 04:21:03,374398,702
Japan,2022-12-06 04:21:03,533387,1184
Japan,2022-12-06 04:21:03,308040,586
Japan,2022-12-06 04:21:03,376951,548
Japan,2022-12-06 04:21:03,218359,409
Japan,2022-12-06 04:21:03,321610,496
Japan,2022-12-06 04:21:03,239959,353
Japan,2022-12-06 04:21:03,261254,602
Japan,2022-12-06 04:21:03,324244,209
Japan,2022-12-06 04:21:03,203697,410
Japan,2022-12-06 04:21:03,337725,471
Japan,2022-12-06 04:21:03,522001,820
Japan,2022-12-06 04:21:03,2312422,6783
Japan,2022-11-22 23:21:06,22118,8
Japan,2022-12-06 04:21:03,180784,268
Japan,2022-12-06 04:21:03,1395341,2630
Japan,2022-12-06 04:21:03,277596,403
Japan,2022-12-06 04:21:03,108538,126
Japan,2022-12-06 04:21:03,587833,825
Japan,2022-12-06 04:21:03,292420,606
Japan,2022-12-06 04:21:03,109806,219
Japan,2022-12-06 04:21:03,3579506,6258
Japan,2022-12-06 04:21:03,84528,116
Japan,2022-12-06 04:21:03,171283,208
Japan,2022-11-22 23:21:06,173,0
Japan,2022-12-06 04:21:03,161781,303
Japan,2022-12-06 04:21:03,169736,264
Japan,2022-12-06 04:21:03,199255,430
Japan,2022-12-06 04:21:03,129234,200
Jordan,2022-12-06 04:21:03,1746997,14122
Kazakhstan,2022-12-06 04:21:03,1487167,19054
Kenya,2022-12-06 04:21:03,341933,5684
Kiribati,2022-12-06 04:21:03,3430,13
"Korea, North",2022-12-06 04:21:03,1,6
"Korea, South",2022-12-06 04:21:03,27408854,30793
Kosovo,2022-12-06 04:21:03,272214,3202
Kuwait,2022-12-06 04:21:03,662747,2570
Kyrgyzstan,2022-12-06 04:21:03,206543,2991
Laos,2022-12-06 04:21:03,216919,758
Latvia,2022-12-06 04:21:03,965678,6103
Lebanon,2022-12-06 04:21:03,1220800,10740
Lesotho,2022-12-06 04:21:03,34490,706
Liberia,2022-12-06 04:21:03,8022,294
Libya,2022-12-06 04:21:03,507100,6437
Liechtenstein,2022-12-06 04:21:03,20984,87
Lithuania,2022-12-06 04:21:03,1277579,9437
Luxembourg,2022-12-06 04:21:03,307523,1165
MS Zaandam,2022-12-06 04:21:03,9,2
Madagascar,2022-12-06 04:21:03,67488,1413
Malawi,2022-12-06 04:21:03,88086,2685
Malaysia,2022-12-06 04:21:03,397184,4681
Malaysia,2022-12-06 04:21:03,316586,2709
Malaysia,2022-12-06 04:21:03,259053,1424
Malaysia,2022-12-06 04:21:03,142561,1197
Malaysia,2022-12-06 04:21:03,229572,1525
Malaysia,2022-12-06 04:21:03,181642,1022
Malaysia,2022-12-06 04:21:03,237368,2090
